Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"N1140525", 12.47, 3,    7460.55,   79.6,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"L3645809", 12.47, 3,    7459.76,   79.6,    1.0361, 0, 0, 0, 0, 0, 0, 0, 0
"P829962", 12.47, 3,    7460.56,   82.5,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"M1142835", 12.47, 3,     7460.5,   82.5,    1.0362, 0, 0, 0, 0, 0, 0, 0, 0
"L3125349", 12.47, 1,    7296.79,  -44.3,    1.0135, 2,    7209.03, -166.9,    1.0013, 3,    7336.09,   78.9,     1.019
"N1138604", 12.47, 1,    7297.33,  -44.3,    1.0136, 2,    7208.68, -166.8,    1.0013, 3,    7334.13,   78.9,    1.0187
"D5710794-3_INT", 12.47, 1,    7551.95,  -34.5,    1.0489, 2,    7541.32, -154.3,    1.0475, 3,    7561.25,   85.9,    1.0502
"E192860", 12.47, 1,    7551.36,  -34.5,    1.0489, 2,    7540.75, -154.3,    1.0474, 3,    7560.77,   85.9,    1.0502
"L3254216", 12.47, 1,    7127.75,  -44.8,   0.99003, 0, 0, 0, 0, 0, 0, 0, 0
"L2785511", 12.47, 1,    7353.15,  -42.2,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"L2897784", 12.47, 2,    7200.42, -161.7,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"M1026496", 12.47, 2,    7200.08, -161.7,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"P859135", 12.47, 1,    7353.14,  -44.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"M1027002", 12.47, 1,    7167.04,  -45.0,   0.99548, 2,    7292.89, -167.0,     1.013, 3,    7381.39,   79.5,    1.0253
"L2673313", 12.47, 1,    7163.66,  -45.0,   0.99501, 2,    7291.81, -167.0,    1.0128, 3,    7378.97,   79.5,    1.0249
"M1047725", 12.47, 2,    7284.43, -166.6,    1.0118, 0, 0, 0, 0, 0, 0, 0, 0
"M1047728", 12.47, 2,     7284.2, -166.6,    1.0118, 0, 0, 0, 0, 0, 0, 0, 0
"M1047300", 12.47, 1,    7214.53,  -40.7,    1.0021, 2,    7158.88, -161.7,   0.99435, 3,     7409.9,   79.9,    1.0292
"M1047299", 12.47, 1,    7211.39,  -40.7,    1.0016, 2,     7154.3, -161.7,   0.99371, 3,    7409.92,   79.9,    1.0292
"L3122835", 12.47, 2,    7269.15, -165.3,    1.0097, 0, 0, 0, 0, 0, 0, 0, 0
"L3234185", 12.47, 2,    7104.32, -167.0,   0.98677, 0, 0, 0, 0, 0, 0, 0, 0
"L3065750", 12.47, 2,    7104.05, -167.0,   0.98673, 0, 0, 0, 0, 0, 0, 0, 0
"L2991943", 12.47, 3,    7405.34,   79.9,    1.0286, 0, 0, 0, 0, 0, 0, 0, 0
"L2952013", 12.47, 1,     7271.1,  -44.8,    1.0099, 0, 0, 0, 0, 0, 0, 0, 0
"M1026701", 12.47, 1,    7184.65,  -44.7,   0.99793, 2,    7373.15, -166.2,    1.0241, 3,    7318.06,   79.8,    1.0165
"M1026697", 12.47, 1,    7183.92,  -44.7,   0.99783, 2,    7373.31, -166.2,    1.0241, 3,    7317.11,   79.8,    1.0163
"M1069730", 12.47, 2,    7105.66, -167.0,   0.98696, 0, 0, 0, 0, 0, 0, 0, 0
"L3159037", 12.47, 2,    7105.23, -167.0,    0.9869, 0, 0, 0, 0, 0, 0, 0, 0
"M1142833", 12.47, 3,    7460.43,   82.5,    1.0362, 0, 0, 0, 0, 0, 0, 0, 0
"P901913", 12.47, 3,    7430.87,   79.7,    1.0321, 0, 0, 0, 0, 0, 0, 0, 0
"N1140823", 12.47, 1,    7191.23,  -44.6,   0.99884, 2,       7372, -166.2,     1.024, 3,    7324.17,   79.8,    1.0173
"M1027066", 12.47, 3,    7346.96,   79.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0
"L2841645", 12.47, 3,    7346.91,   79.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0
"M1125959", 12.47, 3,    7460.84,   82.1,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"M1125974", 12.47, 3,    7460.62,   82.1,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"M1069191", 12.47, 1,    7391.67,  -40.3,    1.0267, 0, 0, 0, 0, 0, 0, 0, 0
"M1108258", 12.47, 2,    7432.04, -160.4,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"P829976", 12.47, 1,    7176.25,  -38.4,   0.99676, 0, 0, 0, 0, 0, 0, 0, 0
"L2955078", 12.47, 1,    7176.11,  -38.4,   0.99674, 0, 0, 0, 0, 0, 0, 0, 0
"N1147867", 12.47, 3,    7260.62,   81.3,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0
"D5837361-8_INT", 12.47, 3,    7260.62,   81.3,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0
"M1026792", 12.47, 1,    7259.91,  -44.9,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L2821010", 12.47, 1,    7258.63,  -44.9,    1.0082, 0, 0, 0, 0, 0, 0, 0, 0
"M1125976", 12.47, 1,    6951.45,  -40.0,   0.96554, 2,    7118.95, -160.9,    0.9888, 3,    7460.75,   81.9,    1.0363
"N1142112", 12.47, 2,    7432.64, -160.4,    1.0324, 0, 0, 0, 0, 0, 0, 0, 0
"P827496", 12.47, 2,     7432.6, -160.4,    1.0324, 0, 0, 0, 0, 0, 0, 0, 0
"221-240988", 12.47, 3,    7305.94,   79.8,    1.0148, 0, 0, 0, 0, 0, 0, 0, 0
"L3141411", 12.47, 3,    7305.75,   79.8,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"P829956", 12.47, 3,    7464.51,   82.4,    1.0368, 0, 0, 0, 0, 0, 0, 0, 0
"D5535139-1_INT", 12.47, 1,    6880.73,  -40.6,   0.95572, 2,    7085.73, -161.5,   0.98419, 3,    7460.66,   81.7,    1.0363
"E183473", 12.47, 1,    6880.32,  -40.6,   0.95566, 2,    7085.35, -161.5,   0.98414, 3,    7460.43,   81.7,    1.0362
"M1125997", 12.47, 1,    6881.13,  -40.6,   0.95577, 2,    7085.91, -161.5,   0.98421, 3,    7460.67,   81.7,    1.0363
"M1047518", 12.47, 2,    7413.75, -166.4,    1.0298, 0, 0, 0, 0, 0, 0, 0, 0
"L2973160", 12.47, 2,    7413.66, -166.4,    1.0297, 0, 0, 0, 0, 0, 0, 0, 0
"N1134471", 12.47, 1,    7140.31,  -45.0,   0.99177, 0, 0, 0, 0, 0, 0, 0, 0
"M1009838", 12.47, 2,    7234.11, -167.2,    1.0048, 0, 0, 0, 0, 0, 0, 0, 0
"L2801896", 12.47, 2,    7233.24, -167.2,    1.0047, 0, 0, 0, 0, 0, 0, 0, 0
"P827520", 12.47, 3,    7437.19,   80.5,     1.033, 0, 0, 0, 0, 0, 0, 0, 0
"M1009784", 12.47, 1,    7198.37,  -44.9,   0.99983, 2,    7280.53, -167.1,    1.0112, 3,    7418.57,   79.6,    1.0304
"M1009770", 12.47, 1,    7196.31,  -44.9,   0.99955, 2,    7280.67, -167.1,    1.0113, 3,    7418.49,   79.6,    1.0304
"N1136669", 12.47, 1,    7385.41,  -44.4,    1.0258, 2,    7413.01, -166.4,    1.0296, 3,     7473.2,   79.7,     1.038
"L3103822", 12.47, 1,    7380.37,  -44.4,    1.0251, 2,    7410.94, -166.4,    1.0294, 3,    7470.81,   79.7,    1.0377
"M3768670", 12.47, 1,     7334.9,  -44.6,    1.0188, 2,    7394.78, -166.6,    1.0271, 3,    7455.25,   79.7,    1.0355
"P1123251", 12.47, 1,    7334.81,  -44.6,    1.0188, 0, 0, 0, 0, 0, 0, 0, 0
"N1136994", 12.47, 3,    7462.49,   79.6,    1.0365, 0, 0, 0, 0, 0, 0, 0, 0
"L2729428", 12.47, 1,    7170.51,  -44.7,   0.99596, 0, 0, 0, 0, 0, 0, 0, 0
"M1026926", 12.47, 1,    7234.32,  -44.9,    1.0048, 2,    7322.97, -167.0,    1.0171, 3,     7425.5,   79.6,    1.0314
"N1138000", 12.47, 1,     7234.3,  -44.9,    1.0048, 0, 0, 0, 0, 0, 0, 0, 0
"221-242079", 12.47, 1,    7366.27,  -36.4,    1.0232, 2,    7388.91, -156.4,    1.0263, 3,     7509.9,   84.2,    1.0431
"L3011293", 12.47, 1,    7366.19,  -36.4,    1.0231, 2,    7388.82, -156.4,    1.0263, 3,    7509.81,   84.2,    1.0431
"M1026777", 12.47, 1,    7258.18,  -44.9,    1.0081, 0, 0, 0, 0, 0, 0, 0, 0
"L3233353", 12.47, 1,    7258.12,  -44.9,    1.0081, 0, 0, 0, 0, 0, 0, 0, 0
"L3029506", 12.47, 2,    7413.89, -166.4,    1.0298, 0, 0, 0, 0, 0, 0, 0, 0
"L3010559", 12.47, 1,    7289.05,  -44.3,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"M1069213", 12.47, 3,    7404.59,   80.4,    1.0285, 0, 0, 0, 0, 0, 0, 0, 0
"L3178977", 12.47, 3,     7404.4,   80.4,    1.0285, 0, 0, 0, 0, 0, 0, 0, 0
"M1108534", 12.47, 1,    7383.88,  -42.0,    1.0256, 2,    7432.27, -163.4,    1.0323, 3,    7505.15,   81.0,    1.0424
"P901934", 12.47, 1,    7383.87,  -42.0,    1.0256, 0, 0, 0, 0, 0, 0, 0, 0
"P829796", 12.47, 3,    7504.17,   81.2,    1.0423, 0, 0, 0, 0, 0, 0, 0, 0
"N1142107", 12.47, 3,    7503.64,   81.2,    1.0422, 0, 0, 0, 0, 0, 0, 0, 0
"L2691965", 12.47, 2,    7330.73, -165.2,    1.0182, 0, 0, 0, 0, 0, 0, 0, 0
"L2785538", 12.47, 1,    7183.93,  -43.5,   0.99783, 0, 0, 0, 0, 0, 0, 0, 0
"N1139259", 12.47, 3,    7357.76,   79.2,     1.022, 0, 0, 0, 0, 0, 0, 0, 0
"L2710543", 12.47, 3,    7357.69,   79.2,     1.022, 0, 0, 0, 0, 0, 0, 0, 0
"Q1301", 12.47, 1,    7154.28,  -38.5,   0.99371, 2,     7231.7, -158.9,    1.0045, 3,    7467.73,   82.6,    1.0372
"L3160872", 12.47, 1,    7152.32,  -38.5,   0.99344, 2,    7230.57, -158.9,    1.0043, 3,    7467.59,   82.6,    1.0372
"P827509", 12.47, 2,    7182.52, -166.8,   0.99763, 0, 0, 0, 0, 0, 0, 0, 0
"M1047793", 12.47, 2,    7153.13, -166.9,   0.99355, 0, 0, 0, 0, 0, 0, 0, 0
"P827555", 12.47, 2,    7153.11, -166.9,   0.99355, 0, 0, 0, 0, 0, 0, 0, 0
"L2879069", 12.47, 1,    7309.57,  -44.1,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L2955006", 12.47, 3,    7498.34,   81.2,    1.0415, 0, 0, 0, 0, 0, 0, 0, 0
"L2692600", 12.47, 3,    7498.23,   81.2,    1.0415, 0, 0, 0, 0, 0, 0, 0, 0
"L3029505", 12.47, 3,    7511.35,   79.8,    1.0433, 0, 0, 0, 0, 0, 0, 0, 0
"L2673318", 12.47, 3,    7511.16,   79.8,    1.0433, 0, 0, 0, 0, 0, 0, 0, 0
"M1026682", 12.47, 1,    7182.48,  -44.7,   0.99763, 0, 0, 0, 0, 0, 0, 0, 0
"M1047424", 12.47, 2,    7184.14, -166.9,   0.99786, 0, 0, 0, 0, 0, 0, 0, 0
"L2691949", 12.47, 2,    7183.97, -166.9,   0.99783, 0, 0, 0, 0, 0, 0, 0, 0
"M1026699", 12.47, 2,    7104.97, -167.1,   0.98686, 0, 0, 0, 0, 0, 0, 0, 0
"L3085403", 12.47, 1,    7183.25,  -44.7,   0.99773, 0, 0, 0, 0, 0, 0, 0, 0
"M4113345", 12.47, 3,    7430.75,   79.7,    1.0321, 0, 0, 0, 0, 0, 0, 0, 0
"L3235255", 12.47, 1,    7250.25,  -40.8,     1.007, 2,    7208.37, -161.7,    1.0012, 3,    7418.56,   79.9,    1.0304
"M1047316", 12.47, 1,    7246.53,  -40.8,    1.0065, 2,    7204.51, -161.7,    1.0007, 3,    7417.51,   79.9,    1.0303
"M1026886", 12.47, 1,    7263.61,  -44.9,    1.0089, 2,    7348.97, -166.9,    1.0208, 3,    7435.34,   79.6,    1.0328
"L3120484", 12.47, 1,    7263.52,  -44.9,    1.0089, 2,    7348.89, -166.9,    1.0207, 3,    7435.32,   79.6,    1.0327
"L2879078", 12.47, 1,    7182.72,  -44.7,   0.99766, 2,    7373.51, -166.2,    1.0242, 3,    7314.71,   79.8,     1.016
"M1026681", 12.47, 1,     7182.5,  -44.7,   0.99763, 2,    7373.51, -166.2,    1.0242, 3,    7313.84,   79.8,    1.0159
"L3232902", 12.47, 1,    6857.03,  -40.8,   0.95242, 2,    7074.61, -161.8,   0.98264, 3,    7459.66,   81.6,    1.0361
"L3123509", 12.47, 1,    7366.29,  -36.4,    1.0232, 2,    7388.91, -156.4,    1.0263, 3,    7509.89,   84.2,    1.0431
"M1209772", 12.47, 1,    7366.29,  -36.4,    1.0232, 2,    7388.91, -156.4,    1.0263, 3,    7509.89,   84.2,    1.0431
"R20703", 12.47, 1,    6879.54,  -40.6,   0.95555, 2,       7085, -161.6,   0.98409, 3,     7460.4,   81.7,    1.0362
"L2859403", 12.47, 1,    6874.36,  -40.6,   0.95483, 2,    7082.66, -161.6,   0.98376, 3,    7460.22,   81.7,    1.0362
"M1026927", 12.47, 1,    7233.64,  -44.9,    1.0047, 2,    7322.65, -167.0,    1.0171, 3,    7425.15,   79.6,    1.0313
"M1125914", 12.47, 1,    7173.13,  -38.8,   0.99633, 2,    7199.64, -159.1,         1, 3,    7437.49,   81.9,     1.033
"L2917328", 12.47, 1,    7173.24,  -38.8,   0.99634, 2,    7198.46, -159.1,   0.99985, 3,    7436.46,   81.9,    1.0329
"L2841635", 12.47, 1,    7328.32,  -44.4,    1.0179, 2,    7385.37, -166.3,    1.0258, 3,    7407.76,   79.7,    1.0289
"L2766499", 12.47, 3,       7468,   79.6,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0
"M1047444", 12.47, 2,     7142.5, -167.0,   0.99207, 0, 0, 0, 0, 0, 0, 0, 0
"M1108459", 12.47, 2,    7062.51, -161.5,   0.98096, 0, 0, 0, 0, 0, 0, 0, 0
"L2802480", 12.47, 2,    7061.29, -161.5,    0.9808, 0, 0, 0, 0, 0, 0, 0, 0
"L2691954", 12.47, 1,    7197.68,  -40.7,   0.99974, 2,    7134.11, -161.8,   0.99091, 3,    7411.16,   79.9,    1.0294
"L3122849", 12.47, 1,    7194.55,  -40.7,    0.9993, 2,    7129.62, -161.8,   0.99029, 3,    7411.59,   79.9,    1.0295
"L2764411", 12.47, 3,    7369.34,   84.7,    1.0236, 0, 0, 0, 0, 0, 0, 0, 0
"M1026907", 12.47, 1,    7244.96,  -44.9,    1.0063, 2,    7328.09, -167.0,    1.0179, 3,     7430.5,   79.6,    1.0321
"L2729206", 12.47, 3,    7470.21,   79.7,    1.0376, 0, 0, 0, 0, 0, 0, 0, 0
"L2804957", 12.47, 3,    7368.32,   84.7,    1.0234, 0, 0, 0, 0, 0, 0, 0, 0
"L3048937", 12.47, 3,     7368.1,   84.7,    1.0234, 0, 0, 0, 0, 0, 0, 0, 0
"L2822872", 12.47, 1,     7332.9,  -44.4,    1.0185, 2,    7365.58, -166.3,    1.0231, 3,    7405.55,   79.6,    1.0286
"L3235946", 12.47, 1,    6777.99,  -41.4,   0.94144, 0, 0, 0, 0, 0, 0, 0, 0
"M1126005", 12.47, 1,    6774.32,  -41.4,   0.94093, 0, 0, 0, 0, 0, 0, 0, 0
"M1009698", 12.47, 1,    7184.12,  -44.9,   0.99786, 0, 0, 0, 0, 0, 0, 0, 0
"L3156034", 12.47, 1,    7183.87,  -44.9,   0.99782, 0, 0, 0, 0, 0, 0, 0, 0
"L3254205", 12.47, 3,    7403.58,   79.9,    1.0283, 0, 0, 0, 0, 0, 0, 0, 0
"L3197647", 12.47, 1,    7260.02,  -44.5,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"M1026778", 12.47, 1,    7260.02,  -44.5,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"M1026844", 12.47, 1,    7224.39,  -44.9,    1.0034, 2,    7289.39, -167.1,    1.0125, 3,    7424.36,   79.6,    1.0312
"N1147861", 12.47, 3,    7424.34,   79.6,    1.0312, 0, 0, 0, 0, 0, 0, 0, 0
"L2973833", 12.47, 1,    7270.29,  -37.4,    1.0098, 2,    7318.11, -157.6,    1.0165, 3,    7489.58,   83.5,    1.0403
"M1166373", 12.47, 1,    7264.69,  -37.5,     1.009, 2,    7313.99, -157.6,    1.0159, 3,     7488.5,   83.4,    1.0401
"L2991902", 12.47, 2,    7011.65, -162.0,    0.9739, 0, 0, 0, 0, 0, 0, 0, 0
"M1008758", 12.47, 2,     7008.4, -162.0,   0.97345, 0, 0, 0, 0, 0, 0, 0, 0
"M1026734", 12.47, 1,    7179.45,  -44.9,   0.99721, 0, 0, 0, 0, 0, 0, 0, 0
"L3065696", 12.47, 1,    7179.33,  -44.9,   0.99719, 0, 0, 0, 0, 0, 0, 0, 0
"L2748780", 12.47, 1,    6772.13,  -41.4,   0.94063, 0, 0, 0, 0, 0, 0, 0, 0
"M1125987", 12.47, 1,    6927.27,  -40.2,   0.96218, 2,     7107.4, -161.1,    0.9872, 3,    7460.76,   81.8,    1.0363
"P901945", 12.47, 1,    6927.23,  -40.2,   0.96217, 2,    7107.37, -161.1,    0.9872, 3,    7460.72,   81.8,    1.0363
"P901910", 12.47, 2,    7224.11, -166.8,    1.0034, 0, 0, 0, 0, 0, 0, 0, 0
"L3027122", 12.47, 1,    6785.45,  -41.4,   0.94248, 0, 0, 0, 0, 0, 0, 0, 0
"M1108506", 12.47, 1,    6785.25,  -41.4,   0.94245, 0, 0, 0, 0, 0, 0, 0, 0
"L2841637", 12.47, 3,    7404.12,   79.9,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"N1139539", 12.47, 1,    7311.23,  -40.7,    1.0155, 0, 0, 0, 0, 0, 0, 0, 0
"L2710520", 12.47, 1,    7310.33,  -40.7,    1.0154, 0, 0, 0, 0, 0, 0, 0, 0
"M1089119", 12.47, 1,    7478.51,  -39.9,    1.0387, 2,    7457.82, -160.4,    1.0359, 3,     7473.1,   80.7,     1.038
"P827521", 12.47, 2,    7457.69, -160.4,    1.0359, 0, 0, 0, 0, 0, 0, 0, 0
"L3046854", 12.47, 2,    7121.07, -167.1,    0.9891, 0, 0, 0, 0, 0, 0, 0, 0
"M1047478", 12.47, 3,    7378.41,   79.4,    1.0248, 0, 0, 0, 0, 0, 0, 0, 0
"L2766716", 12.47, 3,    7378.27,   79.4,    1.0248, 0, 0, 0, 0, 0, 0, 0, 0
"N1137003", 12.47, 1,    7347.92,  -44.3,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0
"L2973171", 12.47, 2,    7278.36, -165.3,    1.0109, 0, 0, 0, 0, 0, 0, 0, 0
"L3085392", 12.47, 3,    7275.68,   81.3,    1.0106, 0, 0, 0, 0, 0, 0, 0, 0
"P875742", 12.47, 2,    7328.09, -167.0,    1.0179, 0, 0, 0, 0, 0, 0, 0, 0
"M1010008", 12.47, 1,    7106.27,  -45.1,   0.98704, 0, 0, 0, 0, 0, 0, 0, 0
"L3784018", 12.47, 1,    7317.49,  -44.1,    1.0164, 2,    7204.41, -166.8,    1.0007, 3,    7501.78,   79.7,     1.042
"M1026703", 12.47, 3,    7318.97,   79.8,    1.0166, 0, 0, 0, 0, 0, 0, 0, 0
"L2973166", 12.47, 3,    7318.77,   79.8,    1.0166, 0, 0, 0, 0, 0, 0, 0, 0
"L3068944", 12.47, 2,    7198.13, -159.1,    0.9998, 0, 0, 0, 0, 0, 0, 0, 0
"M1047550", 12.47, 1,    7489.48,  -44.1,    1.0403, 2,    7493.92, -166.0,    1.0409, 3,    7521.89,   79.9,    1.0448
"L2936270", 12.47, 1,    7452.08,  -35.6,    1.0351, 0, 0, 0, 0, 0, 0, 0, 0
"L3086078", 12.47, 1,     7451.6,  -35.6,     1.035, 0, 0, 0, 0, 0, 0, 0, 0
"M1047593", 12.47, 1,    7378.17,  -44.4,    1.0248, 2,     7387.2, -166.5,    1.0261, 3,    7472.33,   79.7,    1.0379
"M1047615", 12.47, 1,    7371.64,  -44.3,    1.0239, 2,    7370.52, -166.5,    1.0237, 3,    7470.86,   79.7,    1.0377
"M1009855", 12.47, 2,    7232.43, -167.2,    1.0046, 0, 0, 0, 0, 0, 0, 0, 0
"L2748139", 12.47, 2,    7232.36, -167.2,    1.0046, 0, 0, 0, 0, 0, 0, 0, 0
"N1140832", 12.47, 3,    7309.06,   79.8,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"L2841631", 12.47, 3,    7309.01,   79.8,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"M1047819", 12.47, 2,    7126.83, -167.0,    0.9899, 0, 0, 0, 0, 0, 0, 0, 0
"L2916610", 12.47, 2,    7371.37, -166.2,    1.0239, 0, 0, 0, 0, 0, 0, 0, 0
"L2879076", 12.47, 3,    7428.37,   80.5,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"M1089122", 12.47, 3,    7426.93,   80.5,    1.0316, 0, 0, 0, 0, 0, 0, 0, 0
"L2691939", 12.47, 2,       7249, -167.1,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0
"M1069489", 12.47, 3,    7360.85,   79.3,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0
"L2933120", 12.47, 3,    7360.28,   79.3,    1.0223, 0, 0, 0, 0, 0, 0, 0, 0
"M1069225", 12.47, 3,    7395.52,   80.4,    1.0272, 0, 0, 0, 0, 0, 0, 0, 0
"M1089120", 12.47, 1,    7484.85,  -39.9,    1.0396, 2,    7466.02, -160.4,     1.037, 3,    7479.17,   80.7,    1.0388
"L3645810", 12.47, 3,     7458.4,   79.6,     1.036, 0, 0, 0, 0, 0, 0, 0, 0
"M3763623", 12.47, 3,    7458.35,   79.6,    1.0359, 0, 0, 0, 0, 0, 0, 0, 0
"L3649304", 12.47, 1,    7329.71,  -44.6,    1.0181, 0, 0, 0, 0, 0, 0, 0, 0
"M1027042", 12.47, 3,    7366.91,   79.5,    1.0232, 0, 0, 0, 0, 0, 0, 0, 0
"L3178969", 12.47, 2,    7237.44, -167.2,    1.0053, 0, 0, 0, 0, 0, 0, 0, 0
"L2729401", 12.47, 2,    7237.32, -167.2,    1.0052, 0, 0, 0, 0, 0, 0, 0, 0
"L3235249", 12.47, 1,    7283.22,  -44.8,    1.0116, 0, 0, 0, 0, 0, 0, 0, 0
"L2954348", 12.47, 1,    7281.75,  -44.8,    1.0114, 0, 0, 0, 0, 0, 0, 0, 0
"L3066812", 12.47, 1,    7310.02,  -44.1,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L2841622", 12.47, 1,    7309.49,  -44.1,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"M1209787", 12.47, 1,    7420.26,  -35.9,    1.0307, 2,     7432.2, -155.8,    1.0323, 3,    7522.32,   84.7,    1.0448
"L2823611", 12.47, 1,    7402.21,  -36.1,    1.0281, 2,    7418.11, -156.0,    1.0304, 3,    7518.19,   84.5,    1.0443
"196-35541", 12.47, 3,    7420.21,   81.6,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"M1108317", 12.47, 3,    7412.38,   81.6,    1.0296, 0, 0, 0, 0, 0, 0, 0, 0
"M1047340", 12.47, 1,    7282.63,  -40.8,    1.0115, 0, 0, 0, 0, 0, 0, 0, 0
"L2991923", 12.47, 1,    7282.48,  -40.8,    1.0115, 0, 0, 0, 0, 0, 0, 0, 0
"M1026661", 12.47, 1,    7181.47,  -44.7,   0.99749, 0, 0, 0, 0, 0, 0, 0, 0
"P827530", 12.47, 1,    7181.45,  -44.7,   0.99749, 0, 0, 0, 0, 0, 0, 0, 0
"P827503", 12.47, 3,    7373.01,   79.3,    1.0241, 0, 0, 0, 0, 0, 0, 0, 0
"N1147865", 12.47, 1,    7147.33,  -45.0,   0.99275, 0, 0, 0, 0, 0, 0, 0, 0
"L2895489", 12.47, 1,    7147.33,  -45.0,   0.99275, 0, 0, 0, 0, 0, 0, 0, 0
"L2730163", 12.47, 1,    7172.95,  -38.7,    0.9963, 2,    7208.26, -159.0,    1.0012, 3,    7443.26,   82.1,    1.0338
"M1089103", 12.47, 2,    7446.45, -160.4,    1.0343, 0, 0, 0, 0, 0, 0, 0, 0
"L3048196", 12.47, 2,    7445.36, -160.4,    1.0341, 0, 0, 0, 0, 0, 0, 0, 0
"L2673306", 12.47, 3,    7260.25,   81.3,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L2726973", 12.47, 1,    7328.62,  -44.4,    1.0179, 2,    7356.12, -166.4,    1.0217, 3,     7399.7,   79.6,    1.0278
"M1047485", 12.47, 1,    7327.44,  -44.4,    1.0178, 2,    7350.79, -166.4,     1.021, 3,    7396.86,   79.5,    1.0274
"L2991640", 12.47, 3,     7295.2,   81.4,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"M1089160", 12.47, 3,    7295.08,   81.4,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"L3160101", 12.47, 1,    7288.98,  -44.3,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"M1125905", 12.47, 2,    7195.89, -159.1,   0.99949, 0, 0, 0, 0, 0, 0, 0, 0
"M1026950", 12.47, 1,    7203.42,  -44.9,    1.0005, 2,    7309.14, -167.0,    1.0152, 3,    7409.45,   79.5,    1.0292
"M1026954", 12.47, 1,    7198.32,  -44.9,   0.99983, 2,    7306.93, -167.0,    1.0149, 3,    7406.92,   79.5,    1.0288
"M1047558", 12.47, 1,    7499.83,  -44.0,    1.0417, 2,    7501.82, -166.0,     1.042, 3,    7527.62,   79.9,    1.0456
"N1136659", 12.47, 1,    7499.77,  -44.0,    1.0417, 0, 0, 0, 0, 0, 0, 0, 0
"L2766741", 12.47, 1,    7295.33,  -44.3,    1.0133, 2,    7216.74, -166.9,    1.0024, 3,     7344.4,   79.0,    1.0201
"M1069564", 12.47, 1,     7231.2,  -43.1,    1.0044, 2,    7331.25, -165.2,    1.0183, 3,    7522.06,   80.3,    1.0448
"N1136361", 12.47, 1,    7231.17,  -43.1,    1.0044, 0, 0, 0, 0, 0, 0, 0, 0
"M1047566", 12.47, 1,    7516.85,  -44.0,    1.0441, 2,     7514.9, -165.9,    1.0438, 3,    7537.26,   79.9,    1.0469
"N1137995", 12.47, 1,    7516.84,  -44.0,    1.0441, 0, 0, 0, 0, 0, 0, 0, 0
"N1145955", 12.47, 1,    7175.26,  -40.7,   0.99663, 0, 0, 0, 0, 0, 0, 0, 0
"M1069461", 12.47, 1,    7310.27,  -44.4,    1.0154, 2,     7276.1, -166.6,    1.0106, 3,    7363.64,   79.2,    1.0228
"P827574", 12.47, 1,    7310.25,  -44.4,    1.0154, 0, 0, 0, 0, 0, 0, 0, 0
"M1069156", 12.47, 1,    7367.64,  -40.4,    1.0233, 2,    7339.96, -161.1,    1.0195, 3,       7432,   80.2,    1.0323
"L3195356", 12.47, 1,    7438.18,  -40.1,    1.0331, 2,    7413.13, -160.6,    1.0297, 3,    7436.83,   80.5,     1.033
"N1137996", 12.47, 3,     7527.6,   79.9,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0
"L3178979", 12.47, 3,    7527.58,   79.9,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0
"L3254231", 12.47, 1,    7183.02,  -43.5,    0.9977, 0, 0, 0, 0, 0, 0, 0, 0
